"play ID","game ID","game name",date,location,length,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 win","player 5 username","player 5 name","player 5 score","player 5 new","player 5 win","player 6 username","player 6 name","player 6 score","player 6 new","player 6 win","player 7 name","player 7 win","player 8 username","player 8 name","player 8 new"
87050700,70919,Takenoko,2024-07-20,Home,,"Played with expansions:
- [thing=174095]Takenoko: Chibis[/thing]",,Bart,,,30,,,,Martijn,,,39,,1,Excali8ur,Rianne,,,28,,,,Sabrina,,,26,,,,,,,,,,,,,,,,,
87064807,371942,"The White Castle",2024-07-20,H.,,,,Bart,,,35,1,,Boelerino,Martijn,,,43,1,1,Excali8ur,Rianne,,,31,1,,Keukenprinses,Sabrina,,,38,1,,,,,,,,,,,,,,,,
87162248,347347,"Micro Cosmos",2024-07-22,Vakantie,,,,Bart,,,76,,1,Excali8ur,Rianne,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87196185,154203,"Imperial Settlers",2024-07-23,V.,,"Bart = cheater ;) technology op volkaarten. Achteraf ongeveer gecorrigeerd",,Bart,,Atlantis,51,,,Excali8ur,Rianne,,Amazone,53,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87258612,154203,"Imperial Settlers",2024-07-25,V.,,"Uitbreiding: 'Tot hier en niet verder'. Niet zo leuk.

Played with expansions:
- [thing=238389]Imperial Settlers: We Didn't Start The Fire[/thing]",,Bart,,Barbaren,19,,,Excali8ur,Rianne,,Romeinen,32,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87262823,154203,"Imperial Settlers",2024-07-25,V.,,"Played with expansions:
- [thing=195543]Imperial Settlers: 3 Is a Magic Number[/thing]",,Bart,,Barbaren,80,,,Excali8ur,Rianne,,Egyptenaren,86,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87290902,314589,"Night Parade of a Hundred Yokai",2024-07-26,Vakantie,,"Played with expansions:
- [thing=345008]Night Parade of a Hundred Yokai: Kami Rising[/thing]
- [thing=345007]Night Parade of a Hundred Yokai: Moonlight Whispers[/thing]",,Bart,,"Kotengu (vogels)",11,,1,Excali8ur,Rianne,,"Kappa (schildpad)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87291552,235655,"Dragon's Breath",2024-07-24,Vakantie,,,Excali8ur,Rianne,,,,,,,Tessa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87338389,314589,"Night Parade of a Hundred Yokai",2024-07-27,V.,,"Niet volledig afgespeeld, maar wel aan het verliezen. Vooral Cursed Throne uitbreiding uittesten.

Played with expansions:
- [thing=374171]Night Parade of a Hundred Yokai: Cursed Throne Expansion[/thing]
- [thing=345008]Night Parade of a Hundred Yokai: Kami Rising[/thing]
- [thing=345007]Night Parade of a Hundred Yokai: Moonlight Whispers[/thing]",,Astra,,"Onukuma (beer)",5,1,1,Excali8ur,Rianne,,"Tanuki (wasbeer)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87338451,328866,"My Father's Work",2024-07-27,V.,,"T/m generatie 2 gespeeld

A Time of War",,Bart,,,,,,Excali8ur,Rianne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87338853,267979,Tiwanaku,2024-06-29,H.,,,,Marcha,,,,1,,Excali8ur,Rianne,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87384304,328866,"My Father's Work",2024-07-28,V.,,"Local Legend ending

A Time of War",,Bart,,,132,,1,Excali8ur,Rianne,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87410050,314589,"Night Parade of a Hundred Yokai",2024-07-29,V.,,"Played with expansions:
- [thing=374171]Night Parade of a Hundred Yokai: Cursed Throne Expansion[/thing]
- [thing=345008]Night Parade of a Hundred Yokai: Kami Rising[/thing]
- [thing=345007]Night Parade of a Hundred Yokai: Moonlight Whispers[/thing]",,Bart,,"Inugami (hond)",10,,1,Excali8ur,Rianne,,"Tanuki (wasbeer)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87412923,309207,"City Builder: Ancient World",2024-07-29,Vakantie,,,,Bart,,,44,,,Excali8ur,Rianne,,,51,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87474670,328866,"My Father's Work",2024-07-31,V.,,"Gen 1 &amp; 2.
Fear of the unknown, butcher killed.

Fear of the Unknown",,Bart,,,,,,Excali8ur,Rianne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87495218,328866,"My Father's Work",2024-08-01,V.,,"Model City Ending unlocked

Fear of the Unknown",,Bart,,,62,,,Excali8ur,Rianne,,,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87495400,235655,"Dragon's Breath",2024-08-01,V.,,,Excali8ur,Rianne,,,19,,,,Tessa,,,22,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87514019,328866,"My Father's Work",2024-08-01,V.,,"A legacy will live on unlocked

Cost of the Disease",,Bart,,,90,,1,Excali8ur,Rianne,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87589118,347347,"Micro Cosmos",2024-08-03,V.,,,,Bart,,,54,,,Excali8ur,Rianne,,,67,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87872323,177478,IKI,2024-08-11,H.,,,,Bart,,,46,,,Boelerino,Martijn,,,57,,,Excali8ur,Rianne,,,68,,1,Keukenprinses,Sabrina,,,63,,,,,,,,,,,,,,,,,
87877470,366994,Bonsai,2024-08-11,H.,,,,Bart,,,75,,,Boelerino,Martijn,,,62,,,Excali8ur,Rianne,,,78,,,Keukenprinses,Sabrina,,,110,,1,,,,,,,,,,,,,,,
87886156,267979,Tiwanaku,2024-08-11,H.,,"Scenario B",Excali8ur,Rianne,,,58,,,Keukenprinses,Sabrina,,,58,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
